Column 1,category,rating,label,text_
8002,Electronics_Products,5,1,easi instal even without power suppli easi use great product work
8003,Electronics_Products,4,1,good memori card but price littl lower brand also graphic card
8004,Electronics_Products,5,1,the product one make feel comfort the downsid
8005,Electronics_Products,5,1,ador plastic best qualiti good also case
8006,Electronics_Products,4,1,a littl loo time good enough nice littl speaker
8007,Electronics_Products,5,1,great cabl they work great the problem sturdi
8008,Electronics_Products,1,1,not worth money kept last two year if larger
8009,Electronics_Products,5,1,seem great far have issu
8010,Electronics_Products,5,1,veri good camera work well the problem take get use
8011,Electronics_Products,5,1,i alway buy lg dvd player the qualiti good 's perfect fit
8012,Electronics_Products,5,1,a alway great cabl buy one never regret
8013,Electronics_Products,5,1,much faster brand the problem 's realli stereo
8014,Electronics_Products,5,1,exactli i expect i love feel len the zoom awesom
8015,Electronics_Products,5,1,perfect fit light weight right amount pressur keep ipad pocket
8016,Electronics_Products,5,1,cost littl work perfectli if larger head
8017,Electronics_Products,5,1,great seller item deliv promised.great product veri good quality.nic littl speaker work
8018,Electronics_Products,5,1,good product worth money the problem 's realli stereo
8019,Electronics_Products,5,1,outstand speaker littl bass overal sound good
8020,Electronics_Products,5,1,perfect veri sturdi child proof not easi case
8021,Electronics_Products,5,1,noth bad say work great the problem 's realli stereo
8022,Electronics_Products,5,1,thi gift awesom experi if larger head
8023,Electronics_Products,4,1,do n't like differ plug not sure cord short
8024,Electronics_Products,2,1,qualiti good you care make sure 's properli align
8025,Electronics_Products,5,1,strong nice tv mount hold '' tv place i '' hd
8026,Electronics_Products,4,1,decent enough noth el complain i keep mind buy
8027,Electronics_Products,5,1,i two pioneer twelv i old pioneer trs-40
8028,Electronics_Products,5,1,good cover save phone unwant flash drive i keep next one
8029,Electronics_Products,5,1,great deal well built set headphon i keep review coupl month
8030,Electronics_Products,5,1,just love ipad kept going.work great.nic littl speaker work great
8031,Electronics_Products,5,1,netgear qualiti convert old wireless router wireless router thi first one
8032,Electronics_Products,4,1,work well serv readyboost extern extern drive i also use drive upgrad
8033,Electronics_Products,5,1,i hr34 dvr problem i need turn
8034,Electronics_Products,5,1,on time deliveri it 's real shame box full
8035,Electronics_Products,5,1,with magician softwar work fine instruct littl difficult understand
8036,Electronics_Products,5,1,ca n't beat price the qualiti good if larger
8037,Electronics_Products,5,1,love sound great look great thing i wish would
8038,Electronics_Products,5,1,these best one i 've use i 'm sure i would recommend
8039,Electronics_Products,5,1,my unifi network fantast 's awesom experi if
8040,Electronics_Products,5,1,great item still use everyday.worst item world price
8041,Electronics_Products,5,1,af work perfectli a littl bulki work if larger
8042,Electronics_Products,3,1,it bought weekend trip camera work flawlessli the downsid
8043,Electronics_Products,5,0,use two sli good result
8044,Electronics_Products,5,0,it describ work perfectli tv
8045,Electronics_Products,5,0,you upgrad it excel buy
8046,Electronics_Products,4,0,realli made nice abl reach distanc
8047,Electronics_Products,3,0,the adhes work qualiti bad
8048,Electronics_Products,5,0,fast ship work advertis replac cord samsung tv ...
8049,Electronics_Products,5,0,great cabl love noth need said
8050,Electronics_Products,1,0,could n't get work i 'd avoid one
8051,Electronics_Products,1,0,junk defect within month replac warranti gift replac
8052,Electronics_Products,4,0,sound great get i pay
8053,Electronics_Products,5,0,for money i 've never better sound perfect ears-kevin
8054,Electronics_Products,5,0,great qualiti function well made
8055,Electronics_Products,5,0,one best earbud price pay
8056,Electronics_Products,5,0,work great consid price download app meshar enjoy
8057,Electronics_Products,5,0,have use mani meet issu
8058,Electronics_Products,4,0,well made inexpens system work perfect applic
8059,Electronics_Products,5,0,work great the longer cabl i need
8060,Electronics_Products,4,0,it bare fit i7 cool fan good
8061,Electronics_Products,5,0,i like blue light work realli well
8062,Electronics_Products,4,0,work promis my garag look organ alreadi
8063,Electronics_Products,5,0,love p-touch label everyth n't move
8064,Electronics_Products,5,0,a i state review i 'm plea
8065,Electronics_Products,4,0,work great hold charg dozen use
8066,Electronics_Products,5,0,excel product i would buy need would aris
8067,Electronics_Products,5,0,awesom case case great job protect phone
